	ID	Ballade	Lied	Elegie	Sonett	Natur	Poetologie	Philosphie	Liebe	Kultur	Geschichte	Politik	Religion	Top_Emotion	Polarität	Titel	Autor	Reclam_Balladen	Strophen	Verse	Anthologie	Jahr	Hrsg	Epoche	Active_learning	length	Autor_clean	Publikationsjahr_Schätzung	Publikationsjahr
0	l00100002	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	Das gebliebene Lächeln	Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]	unkown	3	14	Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.	1893	Bierbaum, Otto Julius	Moderne	no	359	Liliencron, Detlev von	1879	0
1	l00100003	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	Trennung	Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]	unkown	6	5	Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.	1893	Bierbaum, Otto Julius	Moderne	no	110	Liliencron, Detlev von	1879	0
2	l00100004	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	Waldfahrt	Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]	unkown	7	11	Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.	1893	Bierbaum, Otto Julius	Moderne	no	199	Liliencron, Detlev von	1879	0
3	l00100005	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	Der teutsche Dichter in Abdera	Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]	unkown	1	8	Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.	1893	Bierbaum, Otto Julius	Moderne	no	49	Liliencron, Detlev von	1879	0
4	l00100006	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	Winterbild	Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]	unkown	1	8	Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.	1893	Bierbaum, Otto Julius	Moderne	no	44	Liliencron, Detlev von	1879	0
5	l00100007	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	Je reviendrai	Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]	unkown	1	8	Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.	1893	Bierbaum, Otto Julius	Moderne	no	56	Liliencron, Detlev von	1879	0
6	l00100008	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	„Es zog eine Hochzeit den Berg entlang.“	Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]	unkown	1	8	Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.	1893	Bierbaum, Otto Julius	Moderne	no	46	Liliencron, Detlev von	1879	0
7	l00100009	no	no	no	no	yes	no	no	no	no	no	no	no	unkown	unkown	Sommernacht	Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]	unkown	1	8	Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.	1893	Bierbaum, Otto Julius	Moderne	no	43	Liliencron, Detlev von	1879	0
8	l0010001	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	In Freundschaft	Anzengruber, Ludwig	unkown	5	4	Neue Lieder der besten neueren Dichter für's Volk. Zusammengestellt v. Dr. L. Jacobowski. Berlin 1899.	1899	Jacobowski, Ludwig [alt. Jakobowsky, Ludwig]	Moderne	no	74	Anzengruber, Ludwig	1874	0
9	l00100010	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	Richtet nicht, Pharisäer	Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]	unkown	1	8	Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.	1893	Bierbaum, Otto Julius	Moderne	no	49	Liliencron, Detlev von	1879	0
10	l00100011	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	unkown	Qualvollstes Sterben	Liliencron, Detlev von [alt. Liliencron, Detlev Freiherr von; Liliencron, Detlev Frhr. von]	unkown	1	8	Moderner Musen-Almanach auf das Jahr 1893, hrsg. von Otto Julius Bierbaum. München 1893.	1893	Bierbaum, Otto Julius	Moderne	no	42	Liliencron, Detlev von	1879	0
